year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Unnamed: 8
2025,2,21,11,33,24,1180,100,0,569,0,3,595,
2025,2,21,11,33,25,1180,100,0,569,0,3,595,
2025,2,21,11,33,26,1160,100,0,569,0,3,595,
2025,2,21,11,33,27,1160,100,0,569,0,3,595,
2025,2,21,11,33,28,1150,100,0,569,0,3,595,
2025,2,21,11,33,29,1150,100,0,569,0,3,595,
2025,2,21,11,33,30,1150,100,0,569,0,3,595,
2025,2,21,11,33,31,1150,100,0,569,0,3,595,
2025,2,21,11,33,32,1140,100,0,569,0,3,595,
2025,2,21,11,33,33,1140,100,0,569,0,3,595,
2025,2,21,11,33,34,1120,100,0,569,0,3,595,
2025,2,21,11,33,35,1110,100,0,569,0,3,595,
2025,2,21,11,33,36,1100,100,0,569,0,3,595,
2025,2,21,11,33,37,1090,100,0,569,0,3,595,
2025,2,21,11,33,38,1090,100,0,569,0,3,595,
2025,2,21,11,33,39,1080,100,0,569,0,3,595,
2025,2,21,11,33,40,1090,100,0,569,0,3,595,
2025,2,21,11,33,41,1090,100,0,569,0,3,595,
2025,2,21,11,33,42,1090,100,0,569,0,3,595,
2025,2,21,11,33,43,1090,100,0,569,0,3,595,
2025,2,21,11,33,44,1090,100,0,569,0,3,595,
2025,2,21,11,33,45,1090,100,0,569,0,3,595,
2025,2,21,11,33,46,1090,100,0,569,0,3,595,
2025,2,21,11,33,47,1090,100,0,569,0,3,595,
2025,2,21,11,33,48,1090,100,0,569,0,3,595,
2025,2,21,11,33,49,1090,100,0,569,0,3,595,
2025,2,21,11,33,50,1100,100,0,569,0,3,595,
2025,2,21,11,33,51,1100,50,1,569,0,3,595,
2025,2,21,11,33,52,1100,50,1,569,0,3,595,
2025,2,21,11,33,53,1100,50,1,569,0,3,595,
2025,2,21,11,33,54,1100,50,1,569,0,3,595,
2025,2,21,11,33,55,1110,50,1,569,0,3,595,
2025,2,21,11,33,56,1110,50,1,569,0,3,595,
2025,2,21,11,33,57,1110,75,1,569,0,3,595,
2025,2,21,11,33,58,1120,75,1,569,0,3,595,
2025,2,21,11,33,59,1120,75,1,569,0,3,595,
2025,2,21,11,34,0,1130,50,1,569,0,3,595,
2025,2,21,11,34,1,1140,50,0,569,0,3,595,
2025,2,21,11,34,2,1150,50,0,569,0,3,595,
2025,2,21,11,34,3,1150,50,0,569,0,3,595,
2025,2,21,11,34,4,1160,75,3,569,1,3,595,
2025,2,21,11,34,5,1160,75,3,569,3,3,595,
2025,2,21,11,34,6,1170,75,3,569,6,3,595,
2025,2,21,11,34,7,1170,75,3,569,9,3,595,
2025,2,21,11,34,8,1170,75,3,569,12,3,595,
2025,2,21,11,34,9,1170,50,3,569,15,3,595,
2025,2,21,11,34,10,1180,50,3,569,18,3,595,
2025,2,21,11,34,11,1190,50,3,569,21,3,595,
2025,2,21,11,34,12,1200,50,3,569,23,3,595,
2025,2,21,11,34,13,1200,50,3,569,26,3,595,
2025,2,21,11,34,14,1200,50,3,569,29,3,595,
