0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Ver: 0 33 12 0
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
sens+algo 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map HR to slots/PDs 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 25
1.32 who accel 0 1b
ppg1,ppg2,ppg3,ppg4,x,y,z,hr,hr_conf,spo2,spo2_conf,spo2_lo,spo2_unrel,scd,
164319,16258,420882,436764,-16,-247,980,720,100,0,0,0,0,3,
164430,16270,420963,436947,-18,-247,978,720,100,0,0,0,0,3,
164535,16283,421018,437079,-20,-248,977,720,100,0,0,0,0,3,
164656,16293,421086,437237,-20,-248,978,720,100,0,0,0,0,3,
164689,16303,421018,437268,-18,-247,979,720,100,0,0,0,0,3,
164736,16317,420995,437371,-17,-247,980,720,100,0,0,0,0,3,
164884,16331,421131,437580,-18,-248,978,720,100,0,0,0,0,3,
165036,16354,421218,437769,-19,-247,978,720,100,0,0,0,0,3,
165083,16353,421088,437689,-20,-248,978,720,100,0,0,0,0,3,
164525,16273,420238,436435,-18,-248,980,720,100,0,0,0,0,3,
163515,16157,419388,435104,-17,-248,979,720,100,0,0,0,0,3,
163048,16128,419150,434695,-20,-248,978,720,100,0,0,0,0,3,
162919,16117,419113,434629,-17,-248,979,720,100,0,0,0,0,3,
162730,16093,418961,434463,-18,-247,978,720,100,0,0,0,0,3,
162571,16088,418815,434438,-16,-248,979,720,100,0,0,0,0,3,
162600,16105,418868,434590,-18,-248,978,720,100,0,0,0,0,3,
162652,16108,418924,434751,-18,-247,979,720,100,0,0,0,0,3,
162613,16093,418892,434727,-19,-248,978,720,100,0,0,0,0,3,
162599,16097,418906,434826,-16,-247,980,720,100,0,0,0,0,3,
162653,16110,418988,434999,-16,-247,978,720,100,0,0,0,0,3,
162763,16122,419099,435246,-17,-246,980,720,100,0,0,0,0,3,
162869,16131,419209,435422,-17,-247,980,720,100,0,0,0,0,3,
162994,16138,419307,435607,-16,-247,982,720,100,0,0,0,0,3,
163030,16147,419268,435667,-16,-247,979,720,100,0,0,0,0,3,
163098,16155,419294,435784,-16,-247,981,720,100,0,0,0,0,3,
163167,16172,419342,435898,-16,-246,978,720,100,0,0,0,0,3,
163228,16184,419333,436004,-16,-247,980,720,100,0,0,0,0,3,
163343,16201,419433,436221,-15,-246,979,720,100,0,0,0,0,3,
163474,16216,419465,436304,-15,-247,980,720,100,0,0,0,0,3,
163172,16161,418875,435491,-16,-246,979,720,100,0,0,0,0,3,
162135,16023,417918,433921,-16,-246,979,720,100,0,0,0,0,3,
161354,15953,417409,433105,-15,-247,980,720,100,0,0,0,0,3,
160930,15912,417183,432765,-17,-247,981,720,100,0,0,0,0,3,
160624,15863,417068,432578,-18,-247,980,720,100,0,0,0,0,3,
160260,15816,416875,432329,-16,-247,979,720,100,0,0,0,0,3,
160014,15808,416728,432280,-17,-247,980,720,100,0,0,0,0,3,
159986,15831,416767,432441,-17,-246,979,720,100,0,0,0,0,3,
159928,15830,416732,432478,-16,-246,979,720,100,0,0,0,0,3,
159803,15824,416642,432411,-15,-247,979,720,100,0,0,0,0,3,
159809,15837,416749,432570,-17,-247,981,720,100,0,0,0,0,3,
159861,15853,416791,432749,-15,-246,980,720,100,0,0,0,0,3,
159938,15872,416905,432968,-18,-246,981,720,100,0,0,0,0,3,
160026,15883,416969,433157,-17,-247,978,720,100,0,0,0,0,3,
160094,15903,417040,433313,-17,-247,979,710,100,0,0,0,0,3,
160171,15913,417119,433469,-15,-246,982,710,100,0,0,0,0,3,
160231,15927,417154,433571,-20,-247,980,710,100,0,0,0,0,3,
160308,15941,417196,433674,-17,-246,979,710,100,0,0,0,0,3,
160416,15957,417257,433840,-16,-246,981,710,100,0,0,0,0,3,
160560,15978,417369,434051,-18,-246,978,710,100,0,0,0,0,3,
160633,15979,417285,433993,-16,-246,981,710,100,0,0,0,0,3,
160013,15886,416511,432722,-16,-247,981,710,100,0,0,0,0,3,
158926,15751,415695,431334,-18,-247,980,710,100,0,0,0,0,3,
158180,15681,415262,430672,-17,-248,979,710,100,0,0,0,0,3,
157639,15629,415042,430298,-17,-247,980,710,100,0,0,0,0,3,
157152,15579,414843,430043,-18,-247,980,710,100,0,0,0,0,3,
156775,15546,414758,429905,-16,-246,980,710,100,0,0,0,0,3,
156668,15561,414821,430060,-16,-247,980,710,100,0,0,0,0,3,
156676,15579,414871,430193,-18,-247,979,710,100,0,0,0,0,3,
156578,15572,414774,430154,-18,-247,981,710,100,0,0,0,0,3,
156532,15572,414782,430173,-18,-247,980,710,100,0,0,0,0,3,
156531,15595,414799,430285,-16,-247,981,710,100,0,0,0,0,3,
156655,15617,414949,430526,-18,-246,978,710,100,0,0,0,0,3,
156759,15639,415014,430752,-17,-247,979,710,100,0,0,0,0,3,
156879,15659,415127,430945,-19,-247,981,710,100,0,0,0,0,3,
157018,15680,415274,431141,-16,-247,980,710,100,0,0,0,0,3,
